City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1261,Daura,NG,71.2,clear sky,11.5538,11.4085,
1291,Quelimane,MZ,71.85,overcast clouds,-17.8786,36.8883,Hotel Flamingo
1292,Contamana,PE,72.93,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
1295,Miandrivazo,MG,72.99,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
1299,Fuerte Olimpo,PY,73.9,clear sky,-21.0415,-57.8738,Hospedaje DAMI
1312,Santa Luzia,BR,71.6,clear sky,-19.7697,-43.8514,Pousada Chao Earth
1318,Muana,BR,74.01,overcast clouds,-1.5283,-49.2167,Pousada Bella do Marajó
1327,Madaoua,NE,73.67,clear sky,14.073,5.96,
1333,Pasni,PK,73.76,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
1335,Vinh,VN,72.86,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
1362,Damaturu,NG,71.49,broken clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
1370,Baringo,KE,70.43,broken clouds,0.4667,35.9667,Country Legend Resort
1376,Birao,CF,72.19,broken clouds,10.2849,22.7882,
1383,Nanyamba,TZ,70.97,overcast clouds,-10.6833,39.8333,Busati Lodge Nanyamba
1384,Coahuayana,MX,70.63,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
1392,Dong Hoi,VN,74.14,broken clouds,17.4833,106.6,Nam Long Hotel
1403,Parati,BR,72.73,light rain,-23.2178,-44.7131,Che Lagarto Paraty
1405,Araouane,ML,74.32,overcast clouds,18.9048,-3.5265,
1407,Tsaratanana,MG,70.63,scattered clouds,-16.7833,47.65,
1414,Sinaloa,MX,71.6,few clouds,25.0,-107.5,
1427,Cartagena Del Chaira,CO,73.24,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
1441,Melchor De Mencos,GT,73.4,broken clouds,17.0686,-89.1522,Xultun Farm
1442,Adjumani,UG,73.33,overcast clouds,3.3779,31.7909,Hotel Zawadi
1456,Pozo Colorado,PY,74.86,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
1459,Camana,PE,72.84,overcast clouds,-16.6228,-72.7111,Hostal Morales
1467,Kitgum,UG,74.14,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
1476,Yaviza,PA,74.53,overcast clouds,8.1537,-77.6931,
1479,Sao Felix Do Xingu,BR,72.1,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
1495,Pemba,MZ,73.4,light rain,-12.974,40.5178,Guesthouse Samotina
1501,Yen Bai,VN,71.4,overcast clouds,21.7,104.8667,AK MOTEL
1507,Turbat,PK,70.61,clear sky,26.0023,63.044,Mubashar Quarters
1512,San Matias,BO,73.81,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
1520,Bela Vista,BR,71.64,clear sky,-22.1089,-56.5211,Bella Vista Palace Hotel
1522,Adzope,CI,74.97,overcast clouds,6.1069,-3.8619,Hôtel AKL
1524,Iquique,CL,71.6,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
1579,Kasongo-Lunda,CD,70.52,light rain,-6.4667,16.8167,
1586,Halvad,IN,74.43,clear sky,23.0167,71.1833,"""BHAVANI KRUPA"" Jagdishbhai H. Kariya"
1589,Pirapora,BR,70.18,overcast clouds,-17.345,-44.9419,Santos Palace Hotel
1606,Progreso,MX,73.99,clear sky,21.2833,-89.6667,Playa Linda Hotel
1646,Bull Savanna,JM,73.08,few clouds,17.8868,-77.5902,Big Red's
1660,Te Karaka,NZ,71.53,clear sky,-38.4654,177.8679,
1670,Paranaiba,BR,70.21,broken clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
1673,Placido De Castro,BR,74.44,overcast clouds,-10.3353,-67.1856,Hotel Carioca
1711,Mathathane,BW,73.65,clear sky,-22.2687,28.7495,Selepswe Resort
1712,Mubi,NG,71.44,clear sky,10.2676,13.2644,Hotel
1740,Bhag,PK,73.63,clear sky,29.0415,67.8239,Bukhari hotl
1745,Nago,JP,73.4,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
1748,Sao Joao Do Piaui,BR,73.87,scattered clouds,-8.3581,-42.2467,Nayra Palace Hotel
1749,Bolobo,CD,72.18,overcast clouds,-2.1667,16.2333,
1750,Jawhar,SO,71.2,clear sky,2.7809,45.5005,cosoble spare parts
1764,La Macarena,CO,72.81,moderate rain,2.1837,-73.7849,Casa Hotel Real
1788,Ladario,BR,74.23,few clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
1800,San Ramon De La Nueva Oran,AR,73.99,broken clouds,-23.1322,-64.32600000000001,Hotel Residencial Centro
1802,Mitu,CO,72.46,overcast clouds,1.1983,-70.1733,
1808,Shirgaon,IN,73.4,smoke,19.7,72.7,Samarth Krupa Agro Tourism Farm
1819,Daoukro,CI,73.96,overcast clouds,7.0591,-3.9631,Komenan brou roseline
1830,Peto,MX,70.05,scattered clouds,20.1333,-88.9167,Hotel D'Rodi&Eve
