City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chuy,UY,-33.6971,-53.4616,66.6,87,0,7.92,clear sky
80,Inhambane,MZ,-23.865,35.3833,71.47,79,1,3.42,clear sky
81,Coquimbo,CL,-29.9533,-71.3436,62.6,88,75,2.3,broken clouds
82,Severo-Yeniseyskiy,RU,60.3725,93.0408,8.01,94,56,5.86,broken clouds
83,Lagoa,PT,39.05,-27.9833,59.9,96,74,16.22,broken clouds
84,Cockburn Town,TC,21.4612,-71.1419,78.37,77,0,6.24,clear sky
85,Waipawa,NZ,-41.4122,175.5153,64.0,63,90,13.8,overcast clouds
86,Khatanga,RU,71.9667,102.5,-28.86,85,86,2.91,overcast clouds
87,Itacarambi,BR,-15.1022,-44.0919,72.07,80,0,3.11,clear sky
88,Narsaq,GL,60.9167,-46.05,32.0,80,90,11.5,snow
89,Bouloupari,NC,-21.8667,166.05,82.4,61,0,17.27,clear sky
90,Kargasok,RU,59.0556,80.8572,17.51,97,100,18.16,snow
91,Hasaki,JP,35.7333,140.8333,45.0,100,75,10.36,mist
92,Husavik,IS,66.0449,-17.3389,26.6,86,0,11.03,clear sky
93,Gushikawa,JP,26.3544,127.8686,73.4,78,20,10.36,few clouds
94,Aklavik,CA,68.2191,-135.0107,-7.6,71,3,4.61,clear sky
95,Buraydah,SA,26.326,43.975,57.2,51,0,8.05,clear sky
96,Hilo,US,19.7297,-155.09,71.6,83,90,8.05,light rain
97,Greymouth,NZ,-42.4667,171.2,55.96,84,100,4.45,overcast clouds
98,Sungaipenuh,ID,-2.0833,101.3833,72.34,75,94,4.03,overcast clouds
99,Nikolskoye,RU,59.7035,30.7861,21.2,68,90,13.42,snow
100,Zhigansk,RU,66.7697,123.3711,-8.77,89,100,10.63,overcast clouds
101,Takoradi,GH,4.8845,-1.7554,79.56,88,3,10.63,clear sky
102,Hermanus,ZA,-34.4187,19.2345,60.01,92,100,6.8,overcast clouds
103,Najran,SA,17.4924,44.1277,59.0,44,0,1.25,clear sky
104,Bambous Virieux,MU,-20.3428,57.7575,77.0,94,40,4.61,scattered clouds
105,Pochutla,MX,15.7432,-96.4661,78.8,73,1,2.37,clear sky
106,Mega,ET,4.05,38.3,57.13,39,0,6.71,clear sky
107,Aykhal,RU,66.0,111.5,6.48,92,100,5.61,overcast clouds
108,Cidreira,BR,-30.1811,-50.2056,73.62,78,1,13.06,clear sky
109,Bandarbeyla,SO,9.4942,50.8122,74.46,83,78,10.07,broken clouds
110,Kaitangata,NZ,-46.2817,169.8464,59.0,65,100,8.01,overcast clouds
111,Colares,PT,38.7992,-9.4469,53.01,72,90,19.13,overcast clouds
112,Lander,US,42.833,-108.7307,48.2,21,1,14.97,clear sky
113,Goderich,CA,43.7501,-81.7165,15.8,86,0,3.44,clear sky
114,Arraial Do Cabo,BR,-22.9661,-42.0278,73.81,89,100,5.17,overcast clouds
115,Saint George,US,37.1041,-113.5841,66.99,16,1,4.61,clear sky
116,Bure,ET,10.7,37.0667,62.04,35,3,1.54,clear sky
117,Ulaangom,MN,49.9811,92.0667,7.61,92,98,0.81,overcast clouds
118,Dano,BF,11.15,-3.0667,82.89,43,30,6.38,scattered clouds
119,Goure,NE,13.9835,10.2704,72.27,16,0,8.34,clear sky
120,Burnie,AU,-41.0667,145.9167,61.99,67,100,8.5,overcast clouds
121,Myatlevo,RU,54.8969,35.6762,24.8,80,100,11.18,overcast clouds
122,Castro,BR,-24.7911,-50.0119,60.55,98,100,6.11,overcast clouds
123,Ilhabela,BR,-23.7781,-45.3581,73.31,84,95,2.26,overcast clouds
124,Carnarvon,AU,-24.8667,113.6333,82.4,89,0,10.36,clear sky
125,Berlevag,NO,70.8578,29.0864,20.59,89,93,5.86,overcast clouds
126,Necochea,AR,-38.5473,-58.7368,70.0,92,100,3.0,moderate rain
127,Ornskoldsvik,SE,63.2909,18.7153,19.4,68,30,9.22,scattered clouds
128,Jamestown,US,42.097,-79.2353,18.0,95,1,1.88,clear sky
129,Dikson,RU,73.5069,80.5464,-17.99,88,100,7.76,overcast clouds
130,Rocha,UY,-34.4833,-54.3333,63.91,94,0,6.44,clear sky
131,Labytnangi,RU,66.6572,66.4183,-21.55,86,98,6.49,overcast clouds
132,Upernavik,GL,72.7868,-56.1549,-18.27,80,0,13.51,clear sky
133,Vychegodskiy,RU,61.247,46.8984,2.91,93,100,8.43,overcast clouds
134,Vung Tau,VN,10.346,107.0843,83.07,60,0,12.75,clear sky
135,Netrakona,BD,24.8833,90.7167,75.45,49,0,7.9,clear sky
136,Nanga Eboko,CM,4.6833,12.3667,68.85,93,96,3.65,overcast clouds
137,Irtyshskiy,RU,58.3333,68.1333,5.45,95,96,8.46,overcast clouds
138,Batalha,BR,-9.6778,-37.1247,76.62,73,19,6.62,few clouds
139,Saldanha,ZA,-33.0117,17.9442,55.4,88,96,4.61,overcast clouds
140,Alofi,NU,-19.0595,-169.9187,80.6,89,75,6.91,light rain
141,Jamtara,IN,23.95,86.8,73.4,78,20,6.91,mist
142,Satun,TH,6.8333,100.0,86.0,70,20,8.05,few clouds
143,Parang,PH,7.3704,124.2697,87.85,52,100,2.71,overcast clouds
144,Kruisfontein,ZA,-34.0033,24.7314,66.99,79,52,1.99,broken clouds
145,Fukue,JP,32.6881,128.8419,57.2,54,20,18.41,few clouds
146,Nizhniy Tsasuchey,RU,50.5167,115.1333,25.3,91,93,4.54,overcast clouds
147,Buala,SB,-8.145,159.5921,83.97,74,100,5.82,light rain
148,Aiken,US,33.5835,-81.5998,39.99,69,1,1.92,clear sky
149,Hamilton,US,39.1834,-84.5333,37.99,69,1,1.48,clear sky
150,Puerto Escondido,MX,15.85,-97.0667,78.8,78,1,5.14,clear sky
151,Merauke,ID,-8.4667,140.3333,85.86,63,55,7.02,broken clouds
152,Nhulunbuy,AU,-12.2333,136.7667,89.6,62,40,11.5,scattered clouds
153,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,24.16,scattered clouds
154,Gloria Do Goita,BR,-8.0017,-35.2928,78.8,73,40,4.61,scattered clouds
155,Camacupa,AO,-12.0167,17.4833,58.15,87,32,2.64,scattered clouds
156,Port Blair,IN,11.6667,92.75,84.2,70,20,8.05,few clouds
157,Akrata,GR,38.15,22.3167,48.0,82,43,1.99,scattered clouds
158,Kaohsiung,TW,22.6163,120.3133,77.0,61,20,6.91,haze
159,Nanortalik,GL,60.1432,-45.2371,30.04,93,100,16.04,light snow
160,Panguipulli,CL,-39.6333,-72.3333,53.6,100,75,2.3,broken clouds
161,Vaini,TO,-21.2,-175.2,84.2,74,40,17.27,scattered clouds
162,Yongchang,CN,30.0381,119.7317,51.01,95,100,1.72,overcast clouds
163,Port Elizabeth,ZA,-33.918,25.5701,64.4,88,75,11.5,light rain
164,Sambava,MG,-14.2667,50.1667,75.79,88,99,3.89,overcast clouds
165,Rockhampton,AU,-23.3833,150.5,86.0,51,90,12.66,overcast clouds
166,Baturaja,ID,-4.1333,104.1667,86.16,59,53,1.83,broken clouds
167,Rudbar,AF,30.15,62.6,59.58,30,0,9.1,clear sky
168,Okhotsk,RU,59.3833,143.3,-5.35,82,0,11.3,clear sky
169,Bethel,US,41.3712,-73.414,28.0,53,34,1.99,scattered clouds
170,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.6,50,20,18.41,few clouds
171,Leningradskiy,RU,69.3833,178.4167,-11.67,87,100,9.69,overcast clouds
172,Clyde River,CA,70.4692,-68.5914,-20.2,76,1,5.73,clear sky
173,Abu Kamal,SY,34.4506,40.9171,55.49,44,47,11.27,scattered clouds
174,Esmeraldas,BR,-19.7625,-44.3139,71.6,83,0,5.75,clear sky
175,Fethiye,TR,36.6217,29.1164,46.4,71,0,6.91,clear sky
