City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mataura,NZ,2021-03-06 08:41:00,-46.1927,168.8643,57.99,74,87,1.01
68,Hadrut,AZ,2021-03-06 08:41:00,39.52,47.0318,54.55,39,0,3.87
69,Butaritari,KI,2021-03-06 08:41:00,3.0707,172.7902,80.76,77,63,12.24
70,Barrow,US,2021-03-06 08:41:01,71.2906,-156.7887,-9.4,70,1,12.66
71,Deep River,CA,2021-03-06 08:41:01,46.1001,-77.4995,14.0,57,90,11.5
72,Comodoro Rivadavia,AR,2021-03-06 08:41:01,-45.8667,-67.5,75.2,20,0,16.11
73,Bredasdorp,ZA,2021-03-06 08:41:02,-34.5322,20.0403,80.6,47,0,9.22
74,Bira,RU,2021-03-06 08:41:02,49.0,132.4667,5.05,86,0,7.23
75,Kaeo,NZ,2021-03-06 08:41:02,-35.1,173.7833,66.99,82,100,5.01
76,Georgetown,MY,2021-03-06 08:36:11,5.4112,100.3354,81.0,78,20,6.91
77,Jalu,LY,2021-03-06 08:41:02,29.0331,21.5482,74.5,19,0,14.92
78,Pevek,RU,2021-03-06 08:41:03,69.7008,170.3133,-11.72,91,100,7.45
79,Pecos,US,2021-03-06 08:41:03,31.4229,-103.4932,41.0,65,1,4.41
80,Saskylakh,RU,2021-03-06 08:41:04,71.9167,114.0833,-20.88,84,100,10.8
81,Vryburg,ZA,2021-03-06 08:41:04,-26.9566,24.7284,84.61,19,40,3.02
82,Albany,US,2021-03-06 08:36:10,42.6001,-73.9662,21.0,74,92,1.01
83,Agadez,NE,2021-03-06 08:41:04,19.75,10.25,81.3,13,1,4.34
84,Antofagasta,CL,2021-03-06 08:41:05,-23.65,-70.4,64.4,88,0,1.14
85,Sungaipenuh,ID,2021-03-06 08:41:05,-2.0833,101.3833,69.08,96,100,2.64
86,San Cristobal,VE,2021-03-06 08:41:05,7.7669,-72.225,65.34,76,38,1.86
87,Mar Del Plata,AR,2021-03-06 08:38:32,-38.0023,-57.5575,63.0,67,75,6.91
88,Itaituba,BR,2021-03-06 08:41:06,-4.2761,-55.9836,70.48,90,96,0.89
89,Sibenik,HR,2021-03-06 08:41:06,43.7272,15.9058,51.8,30,0,9.22
90,Salalah,OM,2021-03-06 08:39:20,17.0151,54.0924,84.2,58,0,6.91
91,Riyadh,SA,2021-03-06 08:40:29,24.6877,46.7219,68.0,26,0,12.66
92,Kodiak,US,2021-03-06 08:41:07,57.79,-152.4072,30.2,55,90,17.27
93,Punta Arenas,CL,2021-03-06 08:41:07,-53.15,-70.9167,53.6,87,75,8.05
94,Severo-Kurilsk,RU,2021-03-06 08:41:08,50.6789,156.125,23.5,96,100,17.25
95,Ponta Do Sol,PT,2021-03-06 08:41:08,32.6667,-17.1,59.0,59,68,5.99
96,Beringovskiy,RU,2021-03-06 08:41:08,63.05,179.3167,-21.23,86,8,0.72
97,Atar,MR,2021-03-06 08:41:09,20.5169,-13.0499,68.36,40,1,16.26
98,Cayenne,GF,2021-03-06 08:41:09,4.9333,-52.3333,79.0,94,90,4.61
99,Iqaluit,CA,2021-03-06 08:41:09,63.7506,-68.5145,-4.0,77,75,27.63
100,Likasi,CD,2021-03-06 08:41:10,-10.9814,26.7333,74.73,74,93,3.47
101,Khanpur,PK,2021-03-06 08:39:09,28.6453,70.6567,104.5,8,0,17.67
102,Jamestown,US,2021-03-06 08:39:00,42.097,-79.2353,17.87,96,100,7.38
103,Kysyl-Syr,RU,2021-03-06 08:41:10,63.8986,122.7617,-5.82,89,98,6.24
104,Hithadhoo,MV,2021-03-06 08:41:10,-0.6,73.0833,84.22,60,0,3.44
105,Lavrentiya,RU,2021-03-06 08:41:11,65.5833,-171.0,-16.28,81,32,6.15
106,Colac,AU,2021-03-06 08:41:11,-38.3333,143.5833,55.0,16,76,3.0
107,Itarema,BR,2021-03-06 08:41:11,-2.9248,-39.9167,77.0,86,77,8.23
108,Doha,QA,2021-03-06 08:36:56,25.2867,51.5333,75.2,43,0,14.97
